Name,Weekly_Dropoff_Totes,Daily_Pickup_Totes,Address,Latitude,Longitude
Moody Gardens,0,0,"1 Hope Blvd, Galveston",29.2736,-94.8523
Sugar Bean,1.0,1.0,"11 Evia Main, Galveston",29.261,-94.8704
MAC-IES,1.0,1.0,"1110 23rd Street, Galveston",29.2989,-94.7914
Good Dough,1.0,1.0,"1508 39th Street, Galveston",29.2906,-94.8085
Porch Cafe,1.0,1.0,"1625 East Beach Drive #2A, Galveston",29.3196,-94.7502
Coastal Grill,1.0,1.0,"1827 The Strand, Galveston",29.3082,-94.7895
Texas A&M University at Galveston,1.0,1.0,"200 Seawolf Parkway, Galveston",29.3155,-94.8183
Rudy & Paco Restaurant and Bar,1.0,1.0,"2028 Postoffice St, Galveston",29.3053,-94.7911
Vargas Cut and Catch,1.0,1.0,"2102 Postoffice Street, Galveston",29.3052,-94.7914
MarMo Cafe & Lounge,1.0,1.0,"2121 Market Street suite 101, Galveston",29.3056,-94.7921
Toujouse (listed under Tremont House),1.0,1.0,"2300 Ship Mechanic Row Street, Galveston",29.3063,-94.7948
The Pink Foyer Sweets Boutique,1.0,1.0,"2315 Mechanic Street, Galveston",29.306,-94.7946
Riondo's Ristorante,1.0,1.0,"2328 The Strand, Galveston",29.307,-94.7955
Sugar & Rye,1.0,1.0,"2401 Church Street, Galveston",29.3031,-94.7945
Maceo Spice & Import Company,1.0,1.0,"2706 Market Street, Galveston",29.3042,-94.7988
BLVD Seafood (all of Yagas Entertainment),1.0,1.0,"2804 Avenue R 1/2, Galveston",29.2866,-94.794
Galveston College,1.0,1.0,"4015 Avenue Q, Galveston",29.2841,-94.8085
Galveston College Charlie Thomas Family Applied Technology Center,2.0,3.0,"7626 Broadway Street, Galveston",29.2876,-94.8568
Galveston Country club,1.0,1.0,"14888 Stewart rd Galveston, TX 77554",29.289,-94.8627
Mr. C's Dugout @Galveston College,1.0,1.0,"Student Center, 4015 Avenue Q, Galveston",29.2847,-94.8078
Galveston Bagel Company,1.0,1.0,"1110 23rd Street, Galveston",29.2989,-94.7914
Shykatz,1.0,2.0,"1528 Avenue L, Galveston",29.3006,-94.7832
Cajun Greek,1.0,1.0,"2226 61st St Galveston, TX 77551",29.2769,-94.8316
Leeland House Galveston,1.0,1.0,"2711 Market Street, Galveston",29.3039,-94.7989
Red Light Coffee Roasters,1.0,1.0,"2728 Market Street, Galveston",29.304,-94.7995
Gaido's,1.0,1.0,"3828 Seawall Boulevard, Galveston",29.2796,-94.8045
Eatcetera,1.0,1.0,"408 25th Street, Galveston",29.3045,-94.7958
Star Drug Store,1.0,2.0,"510 23rd Street, Galveston",29.3042,-94.7932
The Sunflower Bakery & Cafe,1.0,1.0,"512 14th Street, Galveston",29.307,-94.783
Mosquito Cafe,1.0,1.0,"628 14th Street, Galveston",29.3057,-94.7825
PattyCakes Bakery,1.0,1.0,"704 14th Street, Galveston",29.3054,-94.7824
Sapori,1.0,1.0,"7611 Stewart Road, Galveston",29.2593,-94.8413
